"Occurrences","Word","Length","Freq_HAL","Log_Freq_HAL","OLD","BG_Sum","BG_Mean","BG_Freq_By_Pos"
"1","a","1","10,610,626","16.177","1.450","#","#","#"
"1","abduction","9","1,995","7.598","2.700","14,853","1,856.625","1,834"
"1","about","5","1,307,019","14.083","1.850","4,387","1,096.750","444"
"1","acquiring","9","1,952","7.577","3.050","16,964","2,120.500","2,297"
"1","advice","6","44,488","10.703","2.300","5,813","1,162.600","975"
"1","aflame","6","81","4.394","2.300","5,410","1,082.000","592"
"1","after","5","414,103","12.934","1.850","10,949","2,737.250","2,083"
"1","against","7","172,615","12.059","2.900","14,633","2,438.833","1,379"
"1","always","6","200,870","12.210","2.250","4,411","882.200","355"
"1","and","3","10,715,411","16.187","1.250","5,245","2,622.500","685"
"1","another","7","286,263","12.565","2.550","14,421","2,403.500","2,272"
"1","approached","10","4,691","8.453","3.400","14,501","1,611.222","1,723"
"1","argued","6","5,832","8.671","2.500","8,536","1,707.200","1,109"
"1","as","2","2,642,511","14.787","1.100","1,452","1,452.000","199"
"1","at","2","1,977,887","14.498","1.000","4,181","4,181.000","106"
"1","away","4","150,815","11.924","1.850","1,313","437.667","172"
"1","bad","3","153,580","11.942","1.000","1,828","914.000","581"
"1","be","2","3,095,437","14.945","1.400","858","858.000","388"
"1","became","6","34,338","10.444","2.200","6,649","1,329.800","1,327"
"1","because","7","503,563","13.129","2.800","7,930","1,321.667","1,426"
"1","been","4","735,347","13.508","1.400","5,544","1,848.000","818"
"1","before","6","344,936","12.751","2.550","9,191","1,838.200","1,474"
"1","beside","6","6,896","8.839","1.800","10,492","2,098.400","1,495"
"1","best","4","269,708","12.505","1.000","8,912","2,970.667","1,648"
"1","bird","4","19,070","9.856","1.750","2,053","684.333","587"
"1","bird's","6","594","6.387","#","3,141","628.200","739"
"1","bitterly","8","695","6.544","2.650","15,849","2,264.143","2,882"
"1","boasted","7","340","5.829","1.700","15,081","2,513.500","2,618"
"1","booty","5","372","5.919","1.750","3,297","824.250","1,145"
"1","brazen","6","307","5.727","2.000","8,109","1,621.800","1,852"
"1","bring","5","56,510","10.942","1.550","14,263","3,565.750","1,504"
"1","bucket","6","3,329","8.110","1.850","4,156","831.200","1,492"
"1","but","3","2,128,964","14.571","1.000","1,460","730.000","664"
"1","by","2","1,790,440","14.398","1.700","72","72.000","18"
"1","called","6","187,701","12.143","1.700","14,385","2,877.000","2,925"
"1","came","4","115,002","11.653","1.000","4,489","1,496.333","1,150"
"1","carelessness","12","375","5.927","4.000","29,022","2,638.364","4,592"
"1","carried","7","17,976","9.797","1.750","13,958","2,326.333","3,415"
"1","carry","5","36,637","10.509","1.650","5,980","1,495.000","2,027"
"1","carrying","8","14,835","9.605","2.350","16,938","2,419.714","3,810"
"1","caught","6","22,729","10.031","2.050","3,399","679.800","1,142"
"1","chanced","7","150","5.011","1.750","13,660","2,276.667","2,498"
"1","change","6","157,119","11.965","1.800","11,275","2,255.000","1,692"
"1","claimed","7","18,853","9.844","2.000","10,629","1,771.500","2,086"
"1","complained","10","4,836","8.484","2.950","21,938","2,437.556","4,696"
"1","cook","4","13,551","9.514","1.250","3,628","1,209.333","2,268"
"1","cooking","7","6,591","8.793","1.700","14,868","2,478.000","4,229"
"1","could","5","544,756","13.208","1.850","5,512","1,378.000","2,434"
"1","criticized","10","2,582","7.856","3.600","19,487","2,165.222","3,020"
"1","day","3","239,111","12.385","1.150","957","478.500","268"
"1","determined","10","16,292","9.698","3.100","30,122","3,346.889","5,040"
"1","did","3","382,593","12.855","1.250","2,723","1,361.500","999"
"1","different","9","223,502","12.317","2.700","20,892","2,611.500","3,601"
"1","discovered","10","20,066","9.907","2.800","25,617","2,846.333","3,425"
"1","distance","8","29,802","10.302","2.600","16,591","2,370.143","3,421"
"1","dog","3","58,314","10.974","1.200","1,094","547.000","344"
"1","done","4","173,968","12.067","1.000","7,469","2,489.667","1,652"
"1","drowned","7","2,176","7.685","1.800","10,150","1,691.667","2,312"
"1","eat","3","35,550","10.479","1.000","5,996","2,998.000","651"
"1","enjoyed","7","13,416","9.504","2.750","8,818","1,469.667","1,260"
"1","enough","6","191,008","12.160","2.500","7,082","1,416.400","720"
"1","entire","6","62,545","11.044","1.950","16,962","3,392.400","1,684"
"1","every","5","230,149","12.346","1.800","9,177","2,294.250","897"
"1","everyone","8","119,257","11.689","3.100","16,146","2,306.571","1,446"
"1","everything","10","112,573","11.631","3.900","22,447","2,494.111","2,068"
