topic_id,word_id,response,percentage
3,topic-3-00001,a,38.0
3,topic-3-00002,little,50.0
3,topic-3-00003,hen,74.0
3,topic-3-00004,was,30.0
3,topic-3-00005,the,59.0
3,topic-3-00006,little,23.0
3,topic-3-00007,rooster,20.0
3,topic-3-00008,went,39.0
3,topic-3-00009,to,80.0
3,topic-3-00010,the,92.0
3,topic-3-00011,house,18.0
3,topic-3-00012,and,38.0
3,topic-3-00013,they,53.0
3,topic-3-00014,saw,19.0
3,topic-3-00015,to,91.0
3,topic-3-00016,they,81.0
3,topic-3-00017,was,17.0
3,topic-3-00018,get,22.0
3,topic-3-00019,the,70.0
3,topic-3-00020,nut,61.0
3,topic-3-00021,would,46.0
3,topic-3-00022,be,30.0
3,topic-3-00023,it,56.00000000000001
3,topic-3-00024,with,91.0
3,topic-3-00025,the,84.0
3,topic-3-00026,other,97.0
3,topic-3-00027,one,52.0
3,topic-3-00028,they,38.0
3,topic-3-00029,they,47.0
3,topic-3-00030,little,44.0
3,topic-3-00031,hen,86.0
3,topic-3-00032,and,35.0
3,topic-3-00033,a,56.00000000000001
3,topic-3-00034,nut,95.0
3,topic-3-00035,nut,36.0
3,topic-3-00036,nut,72.0
3,topic-3-00037,and,70.0
3,topic-3-00038,she,33.0
3,topic-3-00039,that,27.0
3,topic-3-00040,to,72.0
3,topic-3-00041,it,82.0
3,topic-3-00042,and,32.0
3,topic-3-00043,to,91.0
3,topic-3-00044,keep,64.0
3,topic-3-00045,it,78.0
3,topic-3-00046,nut,92.0
3,topic-3-00047,herself,28.999999999999996
3,topic-3-00048,the,52.0
3,topic-3-00049,the,90.0
3,topic-3-00050,little,61.0
3,topic-3-00051,was,86.0
3,topic-3-00052,too,57.99999999999999
3,topic-3-00053,big,53.0
3,topic-3-00054,that,68.0
3,topic-3-00055,she,48.0
3,topic-3-00056,could,80.0
3,topic-3-00057,not,99.0
3,topic-3-00058,eat,41.0
3,topic-3-00059,it,82.0
3,topic-3-00060,whole,41.0
3,topic-3-00061,the,40.0
3,topic-3-00062,was,53.0
3,topic-3-00063,stuck,82.0
3,topic-3-00064,in,98.0
3,topic-3-00065,her,91.0
3,topic-3-00066,throat,90.0
3,topic-3-00067,and,83.0
3,topic-3-00068,she,78.0
3,topic-3-00069,she,39.0
3,topic-3-00070,she,90.0
3,topic-3-00071,would,83.0
3,topic-3-00072,choke,66.0
3,topic-3-00073,she,56.00000000000001
3,topic-3-00074,death,93.0
3,topic-3-00075,she,81.0
3,topic-3-00076,called,16.0
3,topic-3-00077,out,47.0
3,topic-3-00078,and,32.0
3,topic-3-00079,rooster,81.0
3,topic-3-00080,please,39.0
3,topic-3-00081,need,51.0
3,topic-3-00082,you,86.0
3,topic-3-00083,to,79.0
3,topic-3-00084,help,84.0
3,topic-3-00085,and,31.0
3,topic-3-00086,fast,90.0
3,topic-3-00087,as,97.0
3,topic-3-00088,you,94.0
3,topic-3-00089,can,100.0
3,topic-3-00090,and,56.00000000000001
3,topic-3-00091,get,35.0
3,topic-3-00092,farm,16.0
3,topic-3-00093,and,82.0
3,topic-3-00094,get,56.99999999999999
3,topic-3-00095,me,56.99999999999999
3,topic-3-00096,some,77.0
3,topic-3-00097,water,95.0
3,topic-3-00098,so,27.0
3,topic-3-00099,i,59.0
3,topic-3-00100,i,90.0
3,topic-3-00101,will,76.0
3,topic-3-00102,die,65.0
3,topic-3-00103,to,78.0
3,topic-3-00104,death,97.0
3,topic-3-00105,the,67.0
3,topic-3-00106,little,69.0
3,topic-3-00107,rooster,95.0
3,topic-3-00108,ran,44.0
3,topic-3-00109,to,49.0
3,topic-3-00110,the,91.0
3,topic-3-00111,well,96.0
3,topic-3-00112,and,82.0
3,topic-3-00113,fast,90.0
3,topic-3-00114,as,96.0
3,topic-3-00115,he,78.0
3,topic-3-00116,could,96.0
3,topic-3-00117,and,66.0
3,topic-3-00118,got,49.0
3,topic-3-00119,i,45.0
3,topic-3-00120,i,52.0
3,topic-3-00121,me,94.0
3,topic-3-00122,some,51.0
3,topic-3-00123,water,72.0
3,topic-3-00124,so,16.0
3,topic-3-00125,the,41.0
3,topic-3-00126,little,75.0
3,topic-3-00127,hen,90.0
3,topic-3-00128,is,24.0
3,topic-3-00129,choking,81.0
3,topic-3-00130,on,31.0
3,topic-3-00131,the,72.0
3,topic-3-00132,mountain,92.0
3,topic-3-00133,the,37.0
3,topic-3-00134,is,48.0
3,topic-3-00135,a,76.0
